# 1st  line:  data name
# 2st  line:  n p
# 3rd  line:  * J
# rest lines: Y X
# 
# X: matrix, n by p, the regressors
# Y: vector, n by 1, the regressand
# J: vector, 1 by p, the chosen indices
# 
General_Linear_Power
12 29
*               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               
+5.802982e+02   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856954e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856954e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   +1.856953e-01   
+1.756817e+03   +2.815004e-01   +1.632221e-01   +1.168279e-01   +1.111531e-01   +8.322377e-02   +1.039779e-01   +8.654270e-02   +1.258057e-01   +4.142850e-01   +1.234805e-01   +9.620491e-02   +8.271265e-02   +7.458123e-02   +1.300380e-01   +1.776267e-01   +2.367919e-01   +4.394463e-01   +1.697059e-01   +1.101250e-01   +3.048043e-01   +9.649823e-02   +1.198800e-01   +1.114721e-01   +2.902919e-01   +1.413653e-01   +9.644862e-02   +9.366521e-02   +1.042165e-01   +1.332002e-01   
+1.850085e+03   +2.950878e-01   +1.456180e-01   +1.095896e-01   +1.013632e-01   +7.059348e-02   +9.463834e-02   +7.644156e-02   +1.257081e-01   +4.098333e-01   +1.158269e-01   +8.699868e-02   +8.291068e-02   +6.968927e-02   +1.258069e-01   +1.597694e-01   +1.861236e-01   +4.870106e-01   +1.513257e-01   +1.031546e-01   +3.245095e-01   +9.230864e-02   +1.153343e-01   +1.075318e-01   +2.987611e-01   +1.383597e-01   +8.517839e-02   +8.268353e-02   +9.942691e-02   +1.240279e-01   
+1.783574e+03   +5.410518e-01   +7.186934e-02   +2.647940e-01   +3.287672e-03   +2.328632e-02   +6.771377e-02   +6.629622e-02   +2.017533e-01   +6.188929e-02   +3.286849e-01   +1.041100e-02   +2.329884e-01   +1.833762e-01   +3.104587e-02   +8.213586e-03   +1.862183e-01   +1.975184e-01   +1.642379e-02   +5.697851e-02   +1.822061e-01   +3.156789e-01   +9.164343e-02   +3.423241e-01   +1.410720e-01   +5.963467e-02   +4.578336e-02   +3.341499e-02   +1.356909e-01   +1.019981e-02   
+2.038471e+03   +6.979022e-04   +2.119447e-01   +0.000000e+00   +2.754687e-01   +2.050077e-01   +1.794443e-01   +2.249054e-01   +4.817331e-05   +6.015496e-02   +1.644001e-03   +2.142002e-01   +7.875462e-04   +7.822501e-03   +4.307710e-01   +1.500832e-01   +0.000000e+00   +0.000000e+00   +2.234705e-01   +3.429228e-01   +5.375567e-02   +1.195253e-05   +2.793053e-01   +6.570589e-06   +2.546950e-01   +1.776851e-01   +1.934301e-01   +2.345674e-01   +2.988561e-03   +2.437373e-01   
+2.625470e+01   +1.163222e-04   +2.856868e-03   +0.000000e+00   +2.742704e-02   +1.646422e-01   +1.770155e-03   +0.000000e+00   +3.669643e-05   +8.364252e-01   +8.552372e-04   +3.898619e-01   +2.456557e-04   +2.005518e-01   +1.081929e-01   +1.397959e-01   +0.000000e+00   +0.000000e+00   +1.472208e-01   +2.182144e-02   +1.168692e-02   +7.798186e-04   +1.407990e-02   +0.000000e+00   +0.000000e+00   +4.723243e-03   +7.853410e-02   +3.786472e-02   +0.000000e+00   +1.376600e-01   
+1.433669e+03   +2.961844e-01   +1.252203e-01   +9.820498e-02   +6.108328e-02   +1.740536e-02   +6.774179e-02   +3.410092e-02   +1.212370e-01   +4.106262e-01   +9.133474e-02   +2.122694e-02   +7.621996e-02   +4.022066e-02   +4.602219e-02   +1.505392e-01   +2.072933e-01   +5.719786e-01   +1.212225e-01   +4.190280e-02   +3.621092e-01   +6.127936e-02   +6.239240e-02   +7.639391e-02   +2.931688e-01   +1.209743e-01   +4.897461e-02   +4.143500e-02   +9.820097e-02   +8.557484e-02   
+1.113315e+03   +3.548297e-01   +1.153427e-01   +1.596285e-01   +3.984403e-02   +6.657643e-02   +5.401655e-02   +4.694823e-02   +1.124080e-01   +6.906167e-01   +2.217190e-01   +2.496384e-02   +6.324076e-02   +7.482911e-02   +1.228371e-01   +1.338276e-01   +5.230751e-02   +2.193063e-01   +1.161177e-01   +5.317712e-02   +2.410310e-01   +8.119775e-02   +6.846995e-02   +1.572485e-01   +2.082489e-01   +9.608534e-02   +7.564067e-02   +7.284929e-02   +9.744796e-02   +8.849001e-02   
+6.954246e+02   +1.331448e-01   +1.870186e-01   +2.942637e-02   +7.943336e-02   +7.454054e-02   +7.440106e-02   +8.238594e-02   +1.722982e-01   +5.821607e-01   +1.266494e-01   +3.903062e-02   +1.827465e-01   +1.768971e-02   +6.945495e-02   +3.701063e-01   +9.794922e-02   +1.455352e-01   +1.742696e-01   +2.425996e-02   +2.741189e-01   +1.011748e-01   +2.852060e-02   +3.530877e-02   +9.136040e-02   +1.055336e-01   +2.237366e-01   +1.820012e-01   +1.985936e-01   +2.632335e-01   
